PAT_ABS,pacients,percentatge,percentatge_acumulat
119,35299,6.67,6.67
199,33325,6.3,12.97
171,28553,5.4,18.37
85,26747,5.05,23.42
208,25620,4.84,28.26
126,25558,4.83,33.09
100,25146,4.75,37.84
15,24532,4.64,42.48
125,24505,4.63,47.11
189,23263,4.4,51.51
325,20804,3.93,55.44
234,17765,3.36,58.8
124,16431,3.1,61.9
93,14548,2.75,64.65
,13523,2.56,67.21
127,12696,2.4,69.61
221,12304,2.33,71.94
336,12107,2.29,74.23
187,11836,2.24,76.47
231,11239,2.12,78.59
267,9938,1.88,80.47
330,9869,1.86,82.33
8,9566,1.81,84.14
5,9547,1.8,85.94
101,7940,1.5,87.44
133,5405,1.02,88.46
142,5321,1.01,89.47
134,4814,0.91,90.38
83,4798,0.91,91.29
343,4773,0.9,92.19
80,3696,0.7,92.89
92,3329,0.63,93.52
173,3128,0.59,94.11
172,2884,0.54,94.65
114,2180,0.41,95.06
84,2033,0.38,95.44
258,1760,0.33,95.77
143,1481,0.28,96.05
177,1189,0.22,96.27
347,1089,0.21,96.48
346,893,0.17,96.65
90,873,0.16,96.81
207,470,0.09,96.9
9,427,0.08,96.98
350,264,0.05,97.03
238,168,0.03,97.06
254,149,0.03,97.09
186,148,0.03,97.12
351,144,0.03,97.15
43,138,0.03,97.18
144,135,0.03,97.21
217,132,0.02,97.23
190,131,0.02,97.25
103,130,0.02,97.27
46,126,0.02,97.29
376,122,0.02,97.31
286,121,0.02,97.33
285,120,0.02,97.35
42,117,0.02,97.37
21,117,0.02,97.39
121,116,0.02,97.41
25,116,0.02,97.43
28,112,0.02,97.45
67,112,0.02,97.47
47,111,0.02,97.49
48,109,0.02,97.51
335,106,0.02,97.53
360,106,0.02,97.55
39,103,0.02,97.57
30,102,0.02,97.59
153,101,0.02,97.61
23,101,0.02,97.63
49,98,0.02,97.65
55,97,0.02,97.67
44,95,0.02,97.69
41,95,0.02,97.71
251,92,0.02,97.73
395,92,0.02,97.75
38,91,0.02,97.77
19,90,0.02,97.79
31,90,0.02,97.81
95,90,0.02,97.83
156,89,0.02,97.85
152,89,0.02,97.87
155,88,0.02,97.89
24,88,0.02,97.91
326,87,0.02,97.93
247,86,0.02,97.95
389,85,0.02,97.97
315,84,0.02,97.99
54,81,0.02,98.01
71,80,0.02,98.03
10,79,0.01,98.04
22,79,0.01,98.05
35,79,0.01,98.06
252,79,0.01,98.07
72,79,0.01,98.08
358,79,0.01,98.09
154,78,0.01,98.1
271,77,0.01,98.11
65,77,0.01,98.12
253,77,0.01,98.13
284,76,0.01,98.14
76,74,0.01,98.15
164,73,0.01,98.16
36,73,0.01,98.17
27,72,0.01,98.18
403,72,0.01,98.19
361,71,0.01,98.2
349,71,0.01,98.21
348,70,0.01,98.22
212,70,0.01,98.23
377,70,0.01,98.24
18,69,0.01,98.25
74,69,0.01,98.26
51,69,0.01,98.27
145,68,0.01,98.28
29,68,0.01,98.29
302,68,0.01,98.3
17,67,0.01,98.31
273,67,0.01,98.32
277,67,0.01,98.33
82,66,0.01,98.34
192,66,0.01,98.35
40,65,0.01,98.36
105,65,0.01,98.37
59,65,0.01,98.38
287,65,0.01,98.39
50,64,0.01,98.4
396,64,0.01,98.41
319,63,0.01,98.42
224,63,0.01,98.43
45,63,0.01,98.44
158,62,0.01,98.45
33,62,0.01,98.46
230,62,0.01,98.47
353,62,0.01,98.48
311,62,0.01,98.49
362,62,0.01,98.5
400,62,0.01,98.51
342,61,0.01,98.52
89,61,0.01,98.53
73,61,0.01,98.54
56,61,0.01,98.55
197,60,0.01,98.56
233,60,0.01,98.57
385,59,0.01,98.58
309,59,0.01,98.59
191,58,0.01,98.6
290,57,0.01,98.61
4,57,0.01,98.62
288,57,0.01,98.63
388,57,0.01,98.64
160,57,0.01,98.65
331,56,0.01,98.66
225,56,0.01,98.67
78,55,0.01,98.68
312,54,0.01,98.69
291,54,0.01,98.7
368,54,0.01,98.71
13,54,0.01,98.72
157,54,0.01,98.73
276,53,0.01,98.74
320,53,0.01,98.75
62,53,0.01,98.76
274,53,0.01,98.77
148,53,0.01,98.78
102,52,0.01,98.79
282,51,0.01,98.8
327,51,0.01,98.81
32,51,0.01,98.82
386,51,0.01,98.83
97,50,0.01,98.84
279,50,0.01,98.85
390,50,0.01,98.86
77,50,0.01,98.87
146,50,0.01,98.88
257,49,0.01,98.89
365,49,0.01,98.9
245,49,0.01,98.91
275,49,0.01,98.92
20,48,0.01,98.93
14,48,0.01,98.94
216,47,0.01,98.95
341,47,0.01,98.96
52,47,0.01,98.97
104,47,0.01,98.98
363,47,0.01,98.99
345,46,0.01,99.0
283,46,0.01,99.01
69,46,0.01,99.02
182,45,0.01,99.03
392,45,0.01,99.04
222,45,0.01,99.05
86,44,0.01,99.06
219,44,0.01,99.07
206,44,0.01,99.08
183,44,0.01,99.09
250,44,0.01,99.1
248,43,0.01,99.11
223,43,0.01,99.12
79,43,0.01,99.13
63,42,0.01,99.14
117,41,0.01,99.15
261,41,0.01,99.16
226,41,0.01,99.17
202,40,0.01,99.18
136,40,0.01,99.19
175,39,0.01,99.2
359,39,0.01,99.21
296,39,0.01,99.22
53,39,0.01,99.23
372,39,0.01,99.24
211,38,0.01,99.25
161,38,0.01,99.26
357,38,0.01,99.27
115,38,0.01,99.28
356,37,0.01,99.29
159,37,0.01,99.3
235,37,0.01,99.31
210,37,0.01,99.32
75,37,0.01,99.33
149,37,0.01,99.34
289,36,0.01,99.35
168,36,0.01,99.36
402,36,0.01,99.37
355,36,0.01,99.38
185,36,0.01,99.39
383,35,0.01,99.4
280,35,0.01,99.41
310,35,0.01,99.42
135,34,0.01,99.43
128,34,0.01,99.44
371,34,0.01,99.45
196,33,0.01,99.46
292,33,0.01,99.47
272,33,0.01,99.48
293,33,0.01,99.49
174,33,0.01,99.5
366,33,0.01,99.51
255,33,0.01,99.52
113,33,0.01,99.53
393,33,0.01,99.54
108,32,0.01,99.55
34,32,0.01,99.56
193,32,0.01,99.57
391,32,0.01,99.58
241,32,0.01,99.59
147,32,0.01,99.6
109,32,0.01,99.61
16,32,0.01,99.62
123,31,0.01,99.63
205,31,0.01,99.64
322,31,0.01,99.65
218,31,0.01,99.66
299,31,0.01,99.67
364,31,0.01,99.68
64,31,0.01,99.69
294,31,0.01,99.7
116,31,0.01,99.71
316,31,0.01,99.72
300,30,0.01,99.73
165,30,0.01,99.74
384,30,0.01,99.75
304,30,0.01,99.76
295,29,0.01,99.77
281,29,0.01,99.78
209,29,0.01,99.79
130,29,0.01,99.8
122,29,0.01,99.81
398,29,0.01,99.82
141,28,0.01,99.83
379,28,0.01,99.84
369,28,0.01,99.85
150,28,0.01,99.86
387,28,0.01,99.87
339,28,0.01,99.88
98,27,0.01,99.89
263,27,0.01,99.9
244,27,0.01,99.91
399,27,0.01,99.92
317,27,0.01,99.93
213,26,0.0,99.93
137,26,0.0,99.93
265,26,0.0,99.93
198,26,0.0,99.93
374,26,0.0,99.93
380,26,0.0,99.93
138,26,0.0,99.93
394,25,0.0,99.93
215,25,0.0,99.93
11,25,0.0,99.93
236,25,0.0,99.93
256,25,0.0,99.93
194,24,0.0,99.93
338,24,0.0,99.93
303,24,0.0,99.93
378,24,0.0,99.93
91,23,0.0,99.93
203,23,0.0,99.93
401,23,0.0,99.93
240,23,0.0,99.93
184,22,0.0,99.93
344,22,0.0,99.93
328,22,0.0,99.93
262,22,0.0,99.93
111,22,0.0,99.93
298,22,0.0,99.93
167,22,0.0,99.93
397,22,0.0,99.93
242,22,0.0,99.93
307,21,0.0,99.93
140,21,0.0,99.93
106,21,0.0,99.93
229,20,0.0,99.93
70,20,0.0,99.93
260,20,0.0,99.93
305,19,0.0,99.93
259,19,0.0,99.93
214,18,0.0,99.93
162,18,0.0,99.93
139,17,0.0,99.93
306,17,0.0,99.93
178,17,0.0,99.93
269,17,0.0,99.93
163,16,0.0,99.93
239,16,0.0,99.93
131,15,0.0,99.93
201,15,0.0,99.93
370,15,0.0,99.93
340,15,0.0,99.93
188,15,0.0,99.93
243,14,0.0,99.93
110,14,0.0,99.93
120,14,0.0,99.93
2,14,0.0,99.93
314,14,0.0,99.93
246,13,0.0,99.93
297,13,0.0,99.93
337,13,0.0,99.93
179,13,0.0,99.93
166,12,0.0,99.93
7,12,0.0,99.93
118,12,0.0,99.93
204,12,0.0,99.93
373,12,0.0,99.93
237,12,0.0,99.93
329,11,0.0,99.93
249,11,0.0,99.93
3,11,0.0,99.93
169,11,0.0,99.93
112,11,0.0,99.93
232,10,0.0,99.93
81,10,0.0,99.93
266,10,0.0,99.93
375,10,0.0,99.93
200,10,0.0,99.93
12,10,0.0,99.93
367,10,0.0,99.93
87,9,0.0,99.93
352,9,0.0,99.93
228,8,0.0,99.93
88,8,0.0,99.93
107,7,0.0,99.93
1,7,0.0,99.93
181,6,0.0,99.93
176,6,0.0,99.93
180,6,0.0,99.93
324,6,0.0,99.93
354,5,0.0,99.93
96,5,0.0,99.93
333,4,0.0,99.93
334,3,0.0,99.93
129,3,0.0,99.93
